Compound ID,smiles,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,Calculated_LogP,Aromatic_Proportion,measured log solubility in mols per litre,ESOL_Predicted_LogS,Solubility_Status
Amigdalin,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,1,457.432,7,3,7,202.32,-3.1080199999999985,0.1875,-0.77,-0.3947758000000008,Acceptable👍
Fenfuram,Cc1occc1C(=O)Nc2ccccc2,1,201.225,1,2,2,42.24,2.840320000000001,0.7333333333333333,-3.3,-3.2876632666666676,Acceptable👍
citral,CC(C)=CCCC(C)=CC(=O),1,152.237,0,0,4,17.07,2.878000000000001,0.0,-2.06,-2.333009400000001,Acceptable👍
Picene,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,2,278.354,0,5,0,0.0,6.299400000000004,1.0,-7.87,-6.274416800000003,Poor👎
Thiophene,c1ccsc1,2,84.143,0,1,0,0.0,1.7480999999999998,1.0,-1.33,-2.2029895999999995,Acceptable👍
benzothiazole,c2ccc1scnc1c2,2,135.191,0,2,0,12.89,2.2963,1.0,-1.5,-2.8648531999999998,Acceptable👍
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,1,326.437,0,2,1,0.0,6.620600000000001,0.7058823529411765,-7.32,-6.491240341176471,Poor👎
Estradiol,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,1,272.388,2,4,0,40.46,3.609200000000002,0.3,-5.03,-4.024601600000001,Poor👎
Dieldrin,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,1,380.913,0,5,0,12.53,4.481400000000002,0.0,-6.29,-5.024942600000001,Poor👎
Rotenone,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,1,394.423,0,5,3,63.22,3.703300000000002,0.4137931034482758,-4.42,-4.7267084965517245,Poor👎
2-pyrrolidone,O=C1CCCN1,1,85.106,1,1,0,29.1,-0.1036,0.0,1.07,-0.3023891999999999,Acceptable👍
2-Chloronapthalene,Clc1ccc2ccccc2c1,1,162.619,0,2,0,0.0,3.4932000000000016,0.9090909090909092,-4.14,-3.721681072727274,Acceptable👍
1-Pentene,CCCC=C,1,70.135,0,0,2,0.0,1.9725,0.0,-2.68,-1.3855119999999999,Acceptable👍
Primidone,CCC1(C(=O)NCNC1=O)c2ccccc2,1,218.256,2,2,2,58.2,0.5378999999999994,0.375,-2.64,-1.6775641999999995,Acceptable👍
Tetradecane,CCCCCCCCCCCCCC,1,198.394,0,0,11,0.0,5.707400000000006,0.0,-7.96,-3.939704800000004,Acceptable👍
2-Chloropropane,CC(C)Cl,1,78.542,0,0,0,0.0,1.6336,0.0,-1.41,-1.3561283999999998,Acceptable👍
2-Methylbutanol,CCC(C)CO,1,88.15,1,0,2,20.23,1.0248,0.0,-0.47,-0.900154,Acceptable👍
Benzonitrile,N#Cc1ccccc1,1,103.124,0,1,0,23.79,1.55828,0.75,-1.0,-2.0160852,Acceptable👍
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,1,304.352,0,1,7,53.47,3.5847200000000026,0.3157894736842105,-3.64,-3.7570402105263168,Acceptable👍
2-Undecanol,CCCCCCCCCC(C)O,1,172.312,1,0,8,20.23,3.5079000000000025,0.0,-2.94,-2.5903114000000014,Acceptable👍
"2,2',3,4,6-PCB",Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl,1,326.437,0,2,1,0.0,6.620600000000001,0.7058823529411765,-7.43,-6.491240341176471,Poor👎
Lenacil,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,1,234.299,1,3,1,54.86,1.5305,0.3529411764705882,-4.594,-2.4520452705882354,Acceptable👍
Phorate,CCOP(=S)(OCC)SCSCC,1,260.386,0,0,8,18.46,3.727700000000003,0.0,-4.11,-3.2748442000000018,Acceptable👍
Phenacetin,CCOc1ccc(NC(=O)C)cc1,1,179.219,1,1,3,38.33,2.0437,0.4615384615384615,-2.35,-2.382227261538462,Acceptable👍
Dinitramine,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,1,322.243,1,1,5,115.54,2.9502000000000006,0.2727272727272727,-5.47,-3.568350781818182,Acceptable👍
1-Heptanol,CCCCCCCO,1,116.204,1,0,5,20.23,1.9491,0.0,-1.81,-1.4583977999999997,Acceptable👍
Theophylline,Cn1c(=O)n(C)c2nc[nH]c2c1=O,1,180.167,1,2,0,72.68,-1.039700000000001,0.6923076923076923,-1.39,-0.8143320923076917,Acceptable👍
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,1,212.249,2,1,4,75.27,0.9389999999999998,0.0,-1.661,-1.4835137999999997,Acceptable👍
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,1,318.03,0,2,2,0.0,6.187900000000003,0.6666666666666666,-6.9,-6.071496333333335,Poor👎
Methyl octanoate,CCCCCCCC(=O)OC,1,158.241,0,0,6,26.3,2.5199000000000007,0.0,-3.17,-2.0126312000000004,Acceptable👍
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,1,134.222,0,1,2,0.0,2.811400000000001,0.6,-3.75,-2.7553584000000004,Acceptable👍
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,1,288.44,0,0,7,18.46,4.506300000000004,0.0,-4.755,-4.005297000000002,Poor👎
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,1,300.314,2,2,3,76.66,3.784220000000002,0.5454545454545454,-4.805,-4.291641763636365,Poor👎
"1,1-Dichloroethylene",ClC(=C)Cl,1,96.944,0,0,0,0.0,1.9352,0.0,-1.64,-1.6602288,Acceptable👍
1-Methylfluorene,Cc1cccc2c1Cc3ccccc32,1,180.25,0,3,0,0.0,3.566220000000002,0.8571428571428571,-5.22,-3.8385543142857155,Acceptable👍
Valeraldehyde,CCCCC=O,1,86.134,0,0,3,17.07,1.3755,0.0,-0.85,-1.0425958,Acceptable👍
Diphenylamine,N(c1ccccc1)c2ccccc2,2,169.227,1,2,2,12.03,3.430200000000002,0.9230769230769232,-3.504,-3.6013103230769237,Acceptable👍
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,1,253.367,0,1,6,29.54,3.2604000000000024,0.3529411764705882,-3.927,-3.330103870588237,Acceptable👍
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,1,353.49,0,1,9,38.77,4.198300000000004,0.0,-4.15,-4.082567000000002,Poor👎
1-Iodoheptane,CCCCCCCI,1,226.101,0,0,5,0.0,3.3918000000000026,0.0,-4.81,-3.0486602000000014,Acceptable👍
3-Chlorobiphenyl,c1c(Cl)cccc1c2ccccc2,1,188.657,0,2,1,0.0,4.007000000000002,0.9230769230769232,-4.88,-4.151160323076924,Poor👎
